Stock,Condition,Status,Type,Year,Model,Length,DryWeight,GVWR,Price,Location,Image
"Stock #22658Portland, OR",New,On Lot,Travel Trailer,2027,"New 2027 Adventurer Manufacturing Inc. Adventurer 80RBStock #22658Portland, OR",26,5200,7400,"$39,395",Portland / Clackamas,https://assets-cdn.interactcp.com/interactrv/unit_tag/unit_tag_201705240801040725998314.jpg?modified=0428202519374618
"Stock #73288Everett, WA",Used,On Lot,Travel Trailer,2026,"New 2026 Adventurer Manufacturing Inc. Scout Olympic Pop-UpStock #73288Everett, WA",26,5200,7400,"$39,700",Everett,https://assets-cdn.interactcp.com/apachecamping/unit_photo/imgh_400x300-m0812202623041169/unit_photo_202608121104116922407941.jpg
"Stock #73286Portland, OR",New,On Lot,Travel Trailer,2026,"New 2026 Adventurer Manufacturing Inc. Scout Olympic Pop-UpStock #73286Portland, OR",26,5200,7400,"$39,700",Portland / Clackamas,https://assets-cdn.interactcp.com/apachecamping/unit_photo/imgh_400x300-m0813202620154663/unit_photo_202608130815466329428645.jpg
"Stock #73291Tacoma, WA",Used,On Lot,Travel Trailer,2026,"New 2026 Adventurer Manufacturing Inc. Scout Olympic Pop-UpStock #73291Tacoma, WA",26,5200,7400,"$39,737",Tacoma,https://assets-cdn.interactcp.com/apachecamping/unit_photo/imgh_400x300-m0902202618015635/unit_photo_202609020601563575893643.jpg
"Stock #22643Kitsap, WA",Used,On Lot,Travel Trailer,2027,"New 2027 Adventurer Manufacturing Inc. Adventurer 80RBStock #22643Kitsap, WA",26,5200,7400,"$39,995",Kitsap / Poulsbo,https://assets-cdn.interactcp.com/interactrv/unit_tag/unit_tag_201705240801040725998314.jpg?modified=0428202519374618
"Stock #22644Everett, WA",Used,On Lot,Travel Trailer,2027,"New 2027 Adventurer Manufacturing Inc. Adventurer 80RBStock #22644Everett, WA",26,5200,7400,"$39,995",Everett,https://assets-cdn.interactcp.com/interactrv/unit_tag/unit_tag_201705240801040725998314.jpg?modified=0428202519374618
"Stock #22641Tacoma, WA",Used,On Lot,Travel Trailer,2027,"New 2027 Adventurer Manufacturing Inc. Adventurer 80RBStock #22641Tacoma, WACamp Cot Bunk Option!",26,5200,7400,"$39,995",Tacoma,https://assets-cdn.interactcp.com/interactrv/unit_tag/unit_tag_201705240801040725998314.jpg?modified=0428202519374618
"Stock #01147Portland, OR",Used,On Lot,Travel Trailer,2026,"Used 2026 nuCamp RV Cirrus 820Stock #01147Portland, OR",26,5200,7400,"$44,987",Portland / Clackamas,https://assets-cdn.interactcp.com/interactrv/unit_tag/tag_30.png?modified=0428202519374618
"Stock #01171Tacoma, WA",Used,On Lot,Travel Trailer,2026,"New 2026 nuCamp RV Cirrus 620Stock #01171Tacoma, WA",26,5200,7400,"$44,995",Tacoma,https://assets-cdn.interactcp.com/interactrv/unit_tag/tag_1918.png?modified=0428202519374618
"Stock #01264Everett, WA",Used,On Lot,Travel Trailer,2026,"New 2026 nuCamp RV Cirrus 620Stock #01264Everett, WA",26,5200,7400,"$44,995",Everett,https://assets-cdn.interactcp.com/interactrv/unit_tag/tag_1918.png?modified=0428202519374618
